folio,year,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p3_2,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p7_4,p7_4_1,p8,p8_1,p9_1,p9_2,p9_3,p10p,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p18_7,p18_8,p18_9,p18_10,p18_11,p18_12,p18_13,p18_14,p19e1,p19l1,p19u1,p19e2,p19l2,p19u2,p20e,p20l,p20u,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2l,p22_2u,p22_4,p22_5,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p24_4,p24_5,p24_6,p24_7,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_2_1,p24_2_2,p24_2_3,p24_2_4,p24_2_5,p24_2_6,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27c,p27u,p27_1,p28,p28_1c,p28_1u,p28_1_1,p28_2,p29_1,p29_2,p29_3,p29_4,p29_5,p29_6,p29_7,p29_8,p29_9,p29_10,p29_11,p29_12,p29_13,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p33_1_3,p33_2,p34,p35es,p35cn,p35cd,p35_1,p35_2,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_3_5,p35_3_6,p35_3_7,p35_4c,p35_4t,p35_5,p35_6,p35_7,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p38_5_1_1,p38_5_1_2,p38_5_1_3,p38_5_1_4,p38_5_1_5,p38_5_1_6,p38_5_1_7,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,filtro,ponfin3
1,2016,2,11604,1,1,1,1,22,1,2,1,1,2,2,2,2,-1,5,1,-1,3,1,1,1,1,1,1,2,-2,3,2,2,2,2,1,1,12,1207,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1209084,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,2,20030001,2,26,260040001,1,3,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260040001,3,2,1,4,1300,2,1,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,6,0,-3,-3,-3,0,6,4,99997,9999999997,6,4,1,1,2,2,2,2,2,8,2,2,2,2,4,99997,9999999997,8,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,3,2016,0,0,-3,1,-3,-3,1,20.17021007
2,2016,2,11604,1,1,1,1,33,1,3,2,-1,2,2,2,2,-1,5,1,-1,4,2,1,1,1,1,1,2,-2,2,2,2,2,2,1,1,1,101,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,313,1,2,2,1,1,2,2,2,2,8,6,3500,1,5,316,2,1,1305024,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,7,70780001,2,21,211140001,2,26,260040001,1,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260040001,2,2,1,2,20000,1,1,1,1000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,97,97,2,-2,12,0,-3,-3,-3,0,12,4,4003,400366820,6,2,2,2,2,2,2,2,2,8,2,2,2,2,4,4003,400366820,8,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,3,2016,0,0,-3,1,-3,-3,1,20.17021007
3,2016,2,11604,1,1,1,1,25,1,6,1,1,2,2,2,2,-1,5,1,-1,3,1,1,1,1,1,1,2,-2,1,2,2,2,2,1,1,9,903,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,721,1,2,2,2,2,2,2,2,2,8,6,400,1,3,339,2,1,1305024,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,9,999999999,99,26,260040001,1,20,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260040001,15,2,1,4,5000,1,1,1,4000,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,2,0,-3,-3,-3,0,2,4,4019,401977000,6,2,2,2,2,2,2,2,2,40,2,1,1,2,4,4019,401977000,2,4,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,20.17021007
4,2016,2,11604,1,1,1,1,19,1,6,1,1,1,1,2,2,-1,5,1,-1,3,1,1,1,1,1,1,2,-2,2,2,1,2,2,1,1,9,921,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,100120057,1,99,999999999,99,10,100120057,1,1,4,1,-2,99,99999,999999999,99,999,999,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,80370001,12,2,1,4,1500,2,1,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,10,0,-3,-3,-3,0,10,48,48201,4820135000,6,3,2,2,2,2,2,2,2,3,4,2,2,2,48,48201,4820135000,3,4,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,12,2015,0,0,-3,1,-3,-3,1,20.17021007
5,2016,2,11604,1,1,1,2,19,1,5,1,1,1,1,2,2,-1,6,2,2,4,1,2,1,0,3,0,-1,-1,2,2,2,2,2,1,1,7,705,1,-2,-2,-2,-2,-2,-2,-2,555,5,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1312047,3,2,-2,1,30000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,270040001,2,30,300280037,2,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,8,2,1,3,30000,1,1,1,2000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,-2,2,-2,12,0,-3,-3,-3,0,12,48,48215,4821545384,6,2,2,2,2,2,2,2,2,2,4,2,2,2,48,48215,4821545384,2,4,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,17.68914213
6,2016,2,11604,1,1,1,1,28,1,3,2,-1,2,2,2,2,-1,5,1,-1,3,1,1,1,1,5,1,2,-2,2,2,1,2,2,1,1,9,920,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,2000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,999999999,99,24,240200196,1,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,4,2,1,4,1000,3,1,1,2000,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-2,4,0,-3,-3,-3,0,4,48,48201,4820135000,6,2,2,2,2,2,2,2,2,8,2,2,2,2,48,48201,4820135000,8,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2015,2,2016,0,0,-3,1,-3,-3,1,20.17021007
7,2016,2,11604,1,1,1,1,19,1,2,3,-1,2,2,2,2,-1,6,2,2,8,1,1,1,0,1,0,-1,-1,3,2,1,2,2,1,1,22,2211,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,1,45000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,300280037,2,21,211140001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,20,2,1,2,18000,1,1,1,45000,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,7,0,-3,-3,-3,0,7,48,48215,4821545384,6,2,2,2,2,2,2,2,2,2,2,2,2,2,48,48215,4821545384,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,-2,-2,-2,-2,1,-3,-3,2,2016,0,0,-3,1,-3,-3,1,20.17021007
8,2016,2,11604,1,1,1,1,20,1,6,1,1,2,2,2,2,-1,6,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,9998,98,98,99998,999999998,98,98,99998,9999999998,998,98,98,98,98,98,998,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,998,98,98,9999998,98,98,98,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999999998,98,98,999999998,98,98,999999998,98,998,98,98,98,98,99998,999999998,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999999998,998,98,98,98,99998,98,98,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,9999999998,98,98,98,98,98,98,98,98,98,998,98,98,98,98,98,99998,9999999998,998,98,98,998,98,98,99998,98,98,998,98,98,98,98,98,98,98,98,98,99998,98,98,98,998,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,98, ,20.17021007
10,2016,2,11604,1,1,1,1,21,1,1,4,-1,2,2,2,2,-1,6,2,2,5,1,2,1,0,1,0,-1,-1,3,2,2,2,2,1,1,12,1202,98,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,0,2,-2,1,45000,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,26,260040001,1,20,200670001,2,26,260040001,1,46,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260040001,1,3,1,3,30000,1,1,1,45000,1,5,2,1,1,2,2,2,1,2,2,2,2,2,2,2,0,1,97,2,2,-2,8,0,-3,-3,-3,0,8,4,4019,401977000,4,2,2,2,2,2,2,2,2,50,2,2,1,1,4,4019,401977000,50,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,20.17021007
11,2016,2,11604,1,1,1,1,30,1,0,0,1,1,1,2,2,-1,5,1,-1,5,1,1,1,1,1,1,2,-2,2,2,2,2,2,1,1,7,706,98,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,613,1,2,2,2,2,2,2,2,2,6,3,40,1,2,111,1,1,1312047,0,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,999999999,99,99,999999999,99,99,999999999,99,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,999999999,2,2,1,6,30000,1,1,1,1500,3,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,97,2,2,-2,0,-2,-2,-2,-2,-2,-2,99,99999,9999999999,6,2,2,2,2,2,2,2,2,8,2,1,1,2,99,99999,9999999999,8,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,3,2016,0,0,-3,1,-3,-3,1,20.17021007
