"","folio","year","trim","unidad","ciudad","punto","turno","sexo","edad","pasmex","p1a","p1n","p2","p3","p3_1","p3_2","p4","p4_1","p5","p6","p6_1","p7","p7_1","p7_2","p7_3_1","p7_3_2","p7_3_3","p7_3_4","p7_4","p7_4_1","p8","p8_1","p9_1","p9_2","p9_3","p10p","p11p","p11_1d","p11_1m","p11_1u","p11_2e","p11_2m","p11_2l","p11_2u","p11_3es","p11_3cn","p11_3cd","p12c","p12t","p13","p13_1","p13_2","p13_2_1","p13_4","p13_5","p13_6_1","p13_6_2","p13_6_3","p13_6_4","p13_6_5","p13_6_6","p13_6_7","p13_6_8","p13_7","p13_8","p13_9c","p13_9u","p13_9t","p13_10","p13_11","p13_12_1","p13_12_2","p14","p14_1","p15","p16","p16_1","p17","p17_1c","p17_1u","p18_1","p18_2","p18_3","p18_4","p18_5","p18_6","p18_7","p18_8","p18_9","p18_10","p18_11","p18_12","p18_13","p18_14","p19_1e","p19_1l","p19_1u","p19_2e","p19_2l","p19_2u","p20e","p20l","p20u","p21c","p21t","p22","p22_1","p22_2e","p22_2m","p22_2l","p22_2u","p22_4","p22_5","p23_1","p23_2","p23_3","p23_4","p23_5","p23_6","p24_0_1","p24_0_2","p24_0_3","p24_0_4","p24_0_5","p24_0_6","p24_0_7","p24_1_1","p24_1_2","p24_1_3","p24_1_4","p24_1_5","p24_1_6","p24_1_7","p24_2_1","p24_2_2","p24_2_3","p24_2_4","p24_2_5","p24_2_6","p24_2_7","p24_2_8","p25","p25_1_1","p25_1_2","p25_1_3","p25_1_4","p25_1_5","p25_1_6","p25_1_7","p25_1_8","p25_2","p26","p26_1c","p26_1t","p26_2","p26_3","p27","p27_1c","p27_1u","p27_1_1","p27_2","p28c","p28u","p28_1","p29_1","p29_2","p29_3","p29_4","p29_5","p29_6","p29_7","p29_8","p29_9","p29_10","p29_11","p29_12","p29_13","p30","p31","p31_1","p31_2","p32","p32_1","p33","p33_1","p33_1_1","p33_1_2","p33_1_3","p33_2","p34","p35es","p35cn","p35cd","p35_1","p35_1_1","p35_2","p35_2_1_1","p35_2_1_2","p35_2_1_3","p35_2_1_4","p35_2_1_5","p35_2_1_6","p35_2_2","p35_3_1","p35_3_2","p35_3_3","p35_3_4","p35_3_5","p35_3_6","p35_3_7","p35_4c","p35_4t","p35_5","p35_6","p35_7","p35_8","p36es","p36cn","p36cd","p37c","p37t","p38","p38_2","p38_2_1","p38_2_2","p38_3c","p38_3u","p38_3t","p38_4","p38_5","p38_5_1_1","p38_5_1_2","p38_5_1_3","p38_5_1_4","p38_5_1_5","p38_5_1_6","p38_5_1_7","p38_5_1_8","p38_5_1_9","p38_5_1_10","p39","p39_1","p39_2_1","p39_2_2","p40","p41","p42","p43","p43_1","p43_2","p44","p44_1","p45","p46m","p46a","p47","p48","p48_1","p49","p50","p50_1","filtro","ponfin3","pais","deported"
"1:1",39,2017,1,51701,1,1,1,1,47,1,4,1,1,2,2,2,2,-3,1,1,-4,4,1,1,1,1,5,1,3,-7,2,2,1,2,2,3,3,6,612,2,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,4,1,1,1312047,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,24,240280001,2,19,190390001,2,25,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280270001,8,2,1,4,2,-29,-29,-29,-29,2500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,2,-32,0,-33,-33,-33,-33,-33,-33,48,48479,4847941464,6,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,16,2,1,1,2,4,48,48479,4847941464,16,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:2",40,2017,1,51701,1,1,1,1,19,1,5,1,1,2,2,2,2,-3,6,2,2,6,4,2,1,0,5,0,-6,-6,3,2,2,2,2,3,3,8,817,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1217001,3,2,-19,1,2500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,7,70890001,2,28,280320001,2,9,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,1,2,1,3,1,5000,3,6,2,2500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-31,2,-32,5,4,3,-35,5,0,5,48,48215,4821545384,5,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,10,2,1,1,2,4,48,48215,4821545384,10,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:3",41,2017,1,51701,1,1,1,1,24,1,3,3,-2,2,2,2,1,3,6,2,2,3,3,2,1,0,1,0,-6,-6,2,2,1,2,2,3,3,8,821,2,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,4,96,1,1217001,3,2,-19,1,3000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,999999999,99,19,190390001,2,19,190390001,2,15,2,2,2,-22,-22,-22,-22,-22,-22,2,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280330282,2,2,1,3,1,6500,3,6,2,3500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,-31,2,-32,8,0,-34,-34,-34,0,8,48,48215,4821545384,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,1,1,1,4,48,48427,4842762168,6,4,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,7,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:4",42,2017,1,51701,1,1,1,1,18,1,6,1,1,2,2,2,2,-3,6,2,2,6,4,2,7,0,1,0,-6,-6,1,2,1,2,2,3,3,8,817,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,611,3,2,2,2,2,2,2,2,2,6,7,0,0,0,111,2,4,1,1,1312047,3,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,19,190390001,2,21,211140001,2,15,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280270001,1,2,2,-28,2,-29,-29,-29,-29,600,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-31,2,-32,2,0,-34,-34,-34,0,2,48,48215,4821545384,4,1,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,15,2,1,2,2,4,48,48215,4821545384,15,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:5",43,2017,1,51701,1,1,1,1,19,1,2,3,-2,2,2,2,1,1,6,2,2,4,1,2,5,0,5,0,-6,-6,1,2,1,2,2,3,3,6,617,2,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1217001,3,2,-19,1,3000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,90140001,2,7,70890001,2,19,190390001,2,20,2,2,2,-22,-22,-22,-22,-22,-22,2,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,3,1,6000,3,6,1,3000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,1,2,2,-32,6,0,-34,-34,-34,0,6,48,48215,4821545384,4,1,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,1,2,2,4,48,48215,4821545384,2,4,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,10,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:6",44,2017,1,51701,1,1,1,1,23,1,3,1,1,2,2,2,2,-3,1,1,-4,4,1,1,1,1,5,1,3,-7,2,2,1,2,1,3,3,11,1111,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,834,6,2,2,2,2,2,2,2,2,8,7,10,3,2,485,2,2,96,1,1305024,3,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,999999999,99,28,280250001,2,28,280250001,2,15,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280330282,8,2,1,2,2,-29,-29,-29,-29,3000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,-31,2,-32,1,0,-34,-34,-34,0,1,48,48029,4802965000,6,4,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,12,2,1,1,2,4,48,48029,4802965000,12,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:7",45,2017,1,51701,1,1,1,1,20,1,2,3,-2,2,2,2,2,-3,6,2,2,5,5,2,1,0,1,0,-6,-6,3,2,1,2,2,3,3,12,1204,1,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1305024,3,2,-19,2,-20,-20,1,1,1,2,2,2,2,2,1,2,2,2,2,2,7,71010001,2,27,270040001,2,9,999999999,99,1,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,50250001,15,2,1,4,2,-29,-29,-29,-29,3500,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,-31,2,-32,2,0,-34,-34,-34,0,2,48,48479,4847941464,6,3,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,15,2,1,1,2,4,48,48479,4847941464,15,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,5,5,2016,12,2016,4,4,4,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:8",46,2017,1,51701,1,1,1,1,21,1,3,2,-2,2,2,2,2,-3,6,2,5,5,2,1,0,0,1,0,-6,-6,2,2,1,2,2,3,3,4,416,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,4,1,1312047,3,2,-19,2,-20,-20,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,19,190390001,2,28,280320001,2,1,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,2,2,1,4,2,-29,-29,-29,-29,3000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,-32,0,-33,-33,-33,-33,-33,-33,48,48215,4821545384,5,1,2,1,2,2,1,1,1,3,2,2,2,2,2,2,2,17,2,1,1,2,4,48,48215,4821545384,17,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,13.47692216,"El Salvador","USA"
"1:9",47,2017,1,51701,1,1,1,1,32,1,2,2,-2,2,2,2,2,-3,1,1,-4,3,1,1,3,1,5,1,3,-7,1,2,1,2,2,3,3,4,416,99,-12,-12,-12,-12,-12,-12,-12,6,4,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1217001,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70270001,2,30,301740001,2,28,280320001,2,22,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,10,2,1,4,2,-29,-29,-29,-29,3000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,-31,2,-32,0,-33,-33,-33,-33,-33,-33,48,48479,4847941464,6,1,3,1,2,2,2,1,1,3,2,2,2,2,2,2,2,68,2,1,1,2,4,48,48479,4847941464,68,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,3,3,2004,10,2016,0,0,-51,3,2,2,1,13.47692216,"El Salvador","USA"
"1:10",48,2017,1,51701,1,1,1,1,21,1,1,3,-2,2,2,2,2,-3,6,2,5,6,0,2,5,0,5,0,-6,-6,2,2,1,2,2,3,3,8,821,1,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1312047,0,2,-19,2,-20,-20,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70090001,2,28,280320001,2,30,301930001,2,15,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,2,2,1,4,2,-29,-29,-29,-29,4000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,2,-32,4,0,-34,-34,-34,0,4,48,48215,4821545384,4,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,14,2,1,1,2,4,48,48215,4821545384,14,2,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,2,2,2016,12,2016,0,0,-51,2,2,2,1,13.47692216,"El Salvador","USA"
